,Src Pt,Dst Pt,Packets,Bytes
40379,45099,23,1,46
40380,23,45099,1,40
40381,80,61652,1,46
40382,61652,80,1,40
40383,80,30566,5,775
40384,30566,80,6,383
40385,58104,5358,1,46
40386,5358,58104,1,40
40387,46635,80,1,46
40388,80,46635,6,264
40389,46021,22,17,2261
40390,22,46021,20,3249
40391,10901,22,6,329
40392,22,10901,9,4457
40393,2323,31730,1,40
40394,31730,2323,1,46
40395,22,7426,27,3838
40396,7426,22,25,2982
40397,22,50197,19,3185
40398,50197,22,17,2267
40399,20390,22,4,225
40400,22,20390,8,3507
40401,9876,22,27,3056
40402,22,9876,26,3745
40403,1207,23,1,46
40404,23,1207,1,40
40405,42143,80,1,46
40406,80,42143,6,264
40407,22,40474,29,4029
40408,40474,22,26,3046
40409,60833,80,1,46
40410,80,60833,6,264
40411,22,39790,17,3081
40412,39790,22,14,2111
40413,63944,22,8,453
40414,22,63944,8,2490
40415,39456,22,4,226
40416,22,39456,5,300
40417,37991,22,5,301
40418,22,37991,8,2474
40419,22,20044,38,6453
40420,20044,22,29,4266
40421,22566,22,24,2883
40422,22,22566,26,3745
40423,21204,22,17,2413
40424,22,21204,25,4577
40425,23,31537,1,40
40426,31537,23,1,46
40427,28281,22,17,2267
40428,22,28281,19,3185
40429,22,49588,23,3541
40430,49588,22,19,2088
40431,22,52226,19,3185
40432,52226,22,17,2283
40433,22,30006,27,4025
40434,30006,22,19,2379
40435,49029,22,16,2311
40436,22,49029,22,3435
40437,23,38800,1,40
40438,38800,23,1,46
40439,41162,80,1,46
40440,80,41162,6,264
40441,20655,80,1,46
40442,80,20655,6,264
40443,34854,22,12,1586
40444,22,34854,12,2545
40445,50924,22,18,2319
40446,22,50924,19,3185
40447,24276,22,5,301
40448,22,24276,11,6690
40449,5326,80,1,46
40450,80,5326,6,264
40451,38732,22,15,2163
40452,22,38732,19,3185
40453,15944,80,1,46
40454,80,15944,6,264
40455,38945,22,10,539
40456,22,38945,11,2695
40457,36798,22,15,1697
40458,22,36798,12,2617
40459,48476,22,24,2900
40460,22,48476,26,3745
40461,23880,22,26,3004
40462,22,23880,26,3745
40463,36849,22,2,106
40464,22,36849,4,240
40465,14359,22,15,2163
40466,22,14359,19,3185
40467,23,46491,1,40
40468,46491,23,1,46
40469,39212,22,17,2267
40470,22,39212,19,3185
40471,60562,47808,1,63
40472,0,3,1,91
40473,32855,22,15,2163
40474,22,32855,19,3185
40475,22,62749,27,3805
40476,62749,22,25,2965
40477,22,39413,5,1285
40478,39413,22,6,340
40479,22,35535,19,3185
40480,35535,22,17,2267
40481,24326,80,1,46
40482,80,24326,6,264
40483,22,49529,19,3185
40484,49529,22,19,2371
40485,22,38889,19,3185
40486,38889,22,15,2163
40487,32512,80,1,46
40488,80,32512,6,264
40489,26856,22,16,2875
40490,22,26856,20,3290
40491,22,47677,19,3185
40492,47677,22,15,2163
40493,22,34117,19,3185
40494,34117,22,15,2163
40495,60335,22,5,262
40496,22,60335,6,361
40497,57932,22,24,2900
40498,22,57932,26,3745
40499,23,7334,1,40
40500,7334,23,1,46
40501,22,2437,18,2985
40502,2437,22,13,2779
40503,22,3354,19,3037
40504,3354,22,15,2981
40505,18821,23,1,46
40506,23,18821,1,40
40507,56845,22,18,2319
40508,22,56845,19,3185
40509,23864,80,2,92
40510,80,23864,1,44
40511,44716,22,6,383
40512,22,44716,14,5927
40513,22579,22,17,2267
40514,22,22579,19,3185
40515,60973,22,1,46
40516,22,60973,6,264
40517,12459,80,1,46
40518,80,12459,6,264
40519,41960,22,13,1509
40520,22,41960,11,2497
40521,64265,23,1,46
40522,23,64265,1,40
40523,22,44753,19,3185
40524,44753,22,17,2267
40525,53533,22,16,2267
40526,22,53533,22,3405
40527,5234,5060,1,439
40528,0,3,1,467
40529,80,3302,75,3300
40530,3302,80,15,690
40531,52090,22,17,2267
40532,22,52090,19,3185
40533,30998,22,6,335
40534,22,30998,11,4569
40535,37660,80,13,616
40536,80,37660,8,11927
40537,36552,22,22,2292
40538,22,36552,27,4902
40539,54302,80,1,46
40540,80,54302,6,264
40541,61893,22,24,2883
40542,22,61893,26,3745
40543,33012,22,4,234
40544,22,33012,6,413
40545,33633,22,8,427
40546,22,33633,11,4598
40547,29550,22,5,307
40548,22,29550,5,325
40549,104,80,1,46
40550,80,104,6,264
40551,30880,80,1,46
40552,80,30880,6,264
40553,34859,80,1,46
40554,80,34859,6,264
40555,63566,22,7,405
40556,22,63566,9,4556
40557,9642,5358,1,46
40558,5358,9642,1,40
40559,36915,2323,1,46
40560,2323,36915,1,40
40561,30844,7547,1,46
40562,7547,30844,1,40
40563,56455,2222,1,46
40564,2222,56455,1,40
40565,42548,80,1,46
40566,80,42548,6,264
40567,22,39282,20,4213
40568,39282,22,20,2423
40569,59253,3556,2,92
40570,3556,59253,1,40
40571,35340,5358,1,46
40572,5358,35340,1,40
40573,36554,22,21,2228
40574,22,36554,26,3874
40575,23959,22,18,2363
40576,22,23959,24,3510
40577,22,49605,23,3541
40578,49605,22,17,2000
40579,50263,22,17,2267
40580,22,50263,19,3185
40581,29142,22,24,2932
40582,22,29142,26,3745
40583,45431,80,1,46
40584,80,45431,6,264
40585,56112,23,1,46
40586,23,56112,1,40
40587,22,2024,21,3105
40588,2024,22,15,2865
40589,48785,23,1,46
40590,23,48785,1,40
40591,19361,22,15,2163
40592,22,19361,20,3237
40593,22,59035,19,3185
40594,59035,22,17,2267
40595,44950,22,15,2157
40596,22,44950,20,3249
40597,37803,22,17,2267
40598,22,37803,19,3185
40599,39168,22,24,2900
40600,22,39168,26,3745
40601,37376,22,18,2319
40602,22,37376,19,3185
40603,22,50758,20,3249
40604,50758,22,18,2313
40605,22,8049,26,3745
40606,8049,22,24,2918
40607,22,47807,19,3185
40608,47807,22,17,2267
40609,22,47542,19,3185
40610,47542,22,17,2267
40611,35423,80,1,46
40612,80,35423,6,264
40613,36605,22,17,2267
40614,22,36605,20,3305
40615,22,44982,19,3185
40616,44982,22,15,2163
40617,31944,22,7,360
40618,22,31944,4,281
40619,22,52459,19,3185
40620,52459,22,17,2267
40621,22,36782,19,3185
40622,36782,22,15,2163
40623,52022,22,15,2163
40624,22,52022,19,3185
40625,445,3801,3,120
40626,3801,445,3,144
40627,36938,80,1,46
40628,80,36938,6,264
40629,22,34012,19,3185
40630,34012,22,15,2163
40631,10887,23,1,46
40632,23,10887,1,40
40633,29364,80,1,46
40634,80,29364,6,264
40635,49792,3128,1,46
40636,3128,49792,1,40
40637,9090,22,2,92
40638,22,9090,1,44
40639,22,52934,19,3185
40640,52934,22,17,2267
40641,22,30251,25,3705
40642,30251,22,23,2831
40643,20480,81,1,46
40644,22610,23,1,46
40645,23,22610,1,40
40646,46514,22,5,283
40647,22,46514,13,8533
40648,34637,23,1,46
40649,23,34637,1,40
40650,22,13970,27,3809
40651,13970,22,25,3025
40652,60442,80,1,46
40653,80,60442,6,264
40654,23,17897,1,40
40655,17897,23,1,46
40656,56226,22,26,2987
40657,22,56226,26,3745
40658,63462,22,24,2900
40659,22,63462,26,3745
40660,55502,22,14,1645
40661,22,55502,12,2617
40662,27899,3306,1,46
40663,3306,27899,1,40
40664,56383,22,6,329
40665,22,56383,8,4393
40666,5064,5060,1,438
40667,0,3,1,466
40668,47740,22,26,3004
40669,22,47740,26,3745
40670,14087,80,1,46
40671,80,14087,6,264
40672,36534,23,1,46
40673,23,36534,1,40
40674,47326,22,6,374
40675,22,47326,13,6839
40676,24765,3306,1,46
40677,3306,24765,1,40
40678,22,37075,19,3185
40679,37075,22,17,2267
40680,9427,80,1,46
40681,80,9427,6,264
40682,36637,22,17,2267
40683,22,36637,19,3185
40684,22,7475,26,3745
40685,7475,22,24,2905
40686,5358,2996,1,40
40687,2996,5358,1,46
40688,39460,22,7,383
40689,22,39460,9,2583
40690,22,48365,5,1285
40691,48365,22,6,340
40692,15124,22,17,2267
40693,22,15124,19,3185
40694,53885,22,7,393
40695,22,53885,8,4381
40696,50564,22,14,1915
40697,22,50564,14,2721
40698,12656,23,1,46
40699,23,12656,1,40
40700,11044,22,3,182
40701,22,11044,6,409
40702,63770,22,15,2163
40703,22,63770,19,3185
40704,42923,22,17,2267
40705,22,42923,19,3185
40706,26093,22,3,166
40707,22,26093,6,360
40708,34210,22,27,3056
40709,22,34210,26,3745
40710,7547,3753,1,40
40711,3753,7547,1,46
40712,13892,22,15,2163
40713,22,13892,20,3305
40714,35127,22,17,2267
40715,22,35127,19,3185
40716,64439,23,1,46
40717,23,64439,1,40
40718,22,54518,19,3185
40719,54518,22,15,2163
40720,22,39548,26,3745
40721,39548,22,24,2883
40722,59002,22,24,2918
40723,22,59002,26,3745
40724,63338,22,25,3068
40725,22,63338,27,3809
40726,55436,80,1,46
40727,80,55436,6,264
40728,80,35588,1,44
40729,35588,80,2,92
40730,23,31881,1,40
40731,31881,23,1,46
40732,37253,22,15,2195
40733,22,37253,20,4213
40734,64210,22,5,277
40735,22,64210,13,6714
40736,60578,80,1,46
40737,80,60578,6,264
40738,50005,23,1,46
40739,23,50005,1,40
40740,64084,23,1,46
40741,23,64084,1,40
40742,23,33479,1,40
40743,33479,23,1,46
40744,8386,80,1,46
40745,80,8386,6,264
40746,80,82,19,836
40747,82,80,4,184
40748,57675,2323,1,46
40749,2323,57675,1,40
40750,8268,22,26,3155
40751,22,8268,28,3873
40752,22,24245,5,1285
40753,24245,22,6,340
40754,22,49798,19,3185
40755,49798,22,15,2163
40756,22,25700,26,3745
40757,25700,22,24,2883
40758,14974,22,15,2179
40759,22,14974,19,3185
40760,5067,23,1,46
40761,23,5067,1,40
40762,42763,22,15,2163
40763,22,42763,19,3185
40764,34832,22,15,2163
40765,22,34832,19,3185
40766,17727,22,6,335
40767,22,17727,8,1485
40768,80,50936,7,11967
40769,50936,80,13,666
40770,22,58742,19,3185
40771,58742,22,17,2267
40772,25755,22,6,353
40773,22,25755,7,1471
40774,23,28391,1,40
40775,28391,23,1,46
40776,59805,22,26,3151
40777,22,59805,32,5245
40778,45137,22,2,106
40779,22,45137,4,240
40780,49630,22,7,441
40781,22,49630,8,1564
40782,24913,22,15,2163
40783,22,24913,19,3185
40784,55710,22,17,2267
40785,22,55710,19,3185
40786,22,41020,26,3745
40787,41020,22,24,2883
40788,57731,22,17,2283
40789,22,57731,19,3185
40790,59253,3891,2,92
40791,3891,59253,1,40
40792,22,59404,19,3185
40793,59404,22,15,2163
40794,53878,22,6,359
40795,22,53878,7,2422
40796,57431,22,8,448
40797,22,57431,11,4602
40798,40961,22,16,2215
40799,22,40961,21,3301
40800,22,1444,18,2985
40801,1444,22,14,2825
40802,17356,5358,1,46
40803,5358,17356,1,40
40804,51886,22,2,92
40805,22,51886,1,44
40806,22,51545,19,3185
40807,51545,22,17,2267
40808,28586,22,6,350
40809,22,28586,14,7922
40810,29782,22,24,2900
40811,22,29782,26,3745
40812,22,57317,5,1285
40813,57317,22,6,340
40814,19477,22,16,2221
40815,22,19477,21,3369
40816,23,25064,1,40
40817,25064,23,1,46
40818,3221,80,1,46
40819,80,3221,6,264
40820,20653,80,1,46
40821,80,20653,6,264
40822,22,54368,19,3185
40823,54368,22,17,2267
40824,42703,23,1,46
40825,23,42703,1,40
40826,2323,46748,1,40
40827,46748,2323,1,46
40828,34817,80,1,46
40829,80,34817,6,264
40830,54632,22,6,329
40831,22,54632,12,8553
40832,60109,22,6,329
40833,22,60109,10,4509
40834,22,42946,19,3185
40835,42946,22,17,2267
40836,22,51901,19,3185
40837,51901,22,17,2267
40838,38700,22,18,2335
40839,22,38700,19,3185
40840,56080,123,1,46
40841,123,56080,1,40
40842,23,46754,1,40
40843,46754,23,1,46
40844,22,22201,26,3745
40845,22201,22,24,2889
40846,34,80,1,46
40847,80,34,6,264
40848,23,14926,1,40
40849,14926,23,1,46
40850,22,48840,26,3745
40851,48840,22,24,2889
40852,42461,22,21,2261
40853,22,42461,18,3133
40854,14380,22,8,441
40855,22,14380,12,4641
40856,22,48995,20,3249
40857,48995,22,15,2157
40858,49240,22,15,2163
40859,22,49240,19,3185
40860,22,49640,23,3541
40861,49640,22,19,2088
40862,4103,22,14,2825
40863,22,4103,18,2985
40864,48734,22,3,197
40865,22,48734,8,1481
40866,58573,22,15,2163
40867,22,58573,19,3185
40868,22,9974,26,3745
40869,9974,22,24,2918
40870,21008,35888,1,46
40871,35888,21008,1,40
40872,22,24936,5,1285
40873,24936,22,6,340
40874,22,4288,20,3065
40875,4288,22,15,2871
40876,17331,23,1,46
40877,23,17331,1,40
40878,32570,22,18,2339
40879,22,32570,22,3398
40880,28813,22,3,179
40881,22,28813,11,6485
40882,64049,23,1,46
40883,23,64049,1,40
40884,21656,80,1,46
40885,80,21656,6,264
40886,80,48121,11,1031
40887,48121,80,12,663
40888,51456,22,15,2163
40889,22,51456,20,3249
40890,23,43240,1,40
40891,43240,23,1,46
40892,9515,80,1,46
40893,80,9515,6,264
40894,22,33266,26,3745
40895,33266,22,24,2950
40896,23,11263,1,40
40897,11263,23,1,46
40898,41349,22,24,2883
40899,22,41349,27,3849
40900,39864,22,17,2267
40901,22,39864,19,3185
40902,22,51437,19,3185
40903,51437,22,17,2267
40904,53479,22,8,441
40905,22,53479,16,8801
40906,59412,17185,1,46
40907,17185,59412,1,40
40908,36398,80,1,46
40909,80,36398,6,264
40910,37717,22,5,262
40911,22,37717,6,405
40912,53247,22,29,3514
40913,22,53247,33,4361
40914,27735,22,8,1081
40915,22,27735,11,4573
40916,51379,22,6,377
40917,22,51379,8,3499
40918,23,64727,1,40
40919,64727,23,1,46
40920,11667,23,1,46
40921,23,11667,1,40
40922,8387,80,1,46
40923,80,8387,6,264
40924,22,56827,19,3185
40925,56827,22,17,2267
40926,22,49716,19,3185
40927,49716,22,15,2163
40928,16661,22,17,2267
40929,22,16661,19,3185
40930,22,43392,19,3185
40931,43392,22,17,2267
40932,22,60234,20,3237
40933,60234,22,17,2267
40934,19843,22,27,3094
40935,22,19843,30,4078
40936,22,40318,19,3185
40937,40318,22,17,2267
40938,44927,22,15,2163
40939,22,44927,19,3185
40940,31177,22,9,1537
40941,22,31177,14,5461
40942,22,43614,20,4085
40943,43614,22,20,2439
40944,58306,22,15,2163
40945,22,58306,19,3185
40946,50266,22,17,2267
40947,22,50266,19,3185
40948,49368,22,4,231
40949,22,49368,13,8574
40950,22,65121,26,3745
40951,65121,22,24,2883
40952,22,55653,19,3185
40953,55653,22,19,2371
40954,37645,22,17,2267
40955,22,37645,19,3185
40956,42684,80,1,46
40957,80,42684,6,264
40958,31837,80,1,46
40959,80,31837,6,264
40960,2405,80,15,690
40961,80,2405,75,3300
40962,22,54621,19,3185
40963,54621,22,17,2267
40964,22,6361,26,3745
40965,6361,22,24,2931
40966,56029,22,5,277
40967,22,56029,7,536
40968,20365,22,2,92
40969,22,20365,1,44
40970,33012,7547,1,46
40971,7547,33012,1,40
40972,38411,22,25,2572
40973,22,38411,25,3673
40974,53156,22,24,2900
40975,22,53156,26,3745
40976,65316,22,24,2932
40977,22,65316,26,3745
40978,0,8,1,46
40979,0,0,1,32
40980,10244,22,2,106
40981,22,10244,4,240
40982,42500,22,17,2267
40983,22,42500,20,3237
40984,22,58712,19,3185
40985,58712,22,15,2163
40986,39167,22,17,2267
40987,22,39167,19,3185
40988,21697,23,1,46
40989,23,21697,1,40
40990,46235,22,17,2283
40991,22,46235,19,3185
40992,51294,22,24,2900
40993,22,51294,26,3745
40994,63721,80,1,46
40995,80,63721,6,264
40996,48778,22,24,2883
40997,22,48778,26,3745
40998,22,44644,19,3185
40999,44644,22,17,2267
41000,37727,22,6,314
41001,22,37727,5,345
41002,22,57908,19,3185
41003,57908,22,15,2163
41004,26376,23,1,46
41005,23,26376,1,40
41006,32158,22,17,2267
41007,22,32158,19,3185
41008,2407,80,1,46
41009,80,2407,6,264
41010,43354,22,17,2267
41011,22,43354,19,3185
41012,59391,23,1,46
41013,23,59391,1,40
41014,41270,23,1,46
41015,23,41270,1,40
41016,0,8,1,46
41017,0,0,1,32
41018,4325,80,1,46
41019,80,4325,6,264
41020,22,3077,18,2985
41021,3077,22,16,2917
41022,23667,23,1,46
41023,23,23667,1,40
41024,22,46665,26,3745
41025,46665,22,24,2889
41026,1244,23,1,46
41027,23,1244,1,40
41028,22279,23,1,46
41029,23,22279,1,40
41030,22,33888,5,1285
41031,33888,22,6,340
41032,20871,22,7,399
41033,22,20871,7,1454
41034,64069,22,6,353
41035,22,64069,9,2509
41036,63484,22,16,2230
41037,22,63484,24,4526
41038,80,23053,1,46
41039,23053,80,1,40
41040,37144,22,15,2163
41041,22,37144,19,3185
41042,54765,22,14,1915
41043,22,54765,14,2721
41044,22422,22,2,106
41045,22,22422,4,240
41046,23,27815,1,40
41047,27815,23,1,46
41048,26254,22,24,2883
41049,22,26254,26,3745
41050,10548,22,9,769
41051,22,10548,10,1675
41052,27153,992,1,46
41053,992,27153,1,40
41054,16130,22,7,360
41055,22,16130,5,374
41056,19854,22,24,2900
41057,22,19854,26,3745
41058,32979,80,1,46
41059,80,32979,6,264
41060,80,290,20,880
41061,290,80,5,230
41062,48897,22,2,106
41063,22,48897,4,240
41064,60725,22,16,2215
41065,22,60725,20,3305
41066,27072,22,26,3004
41067,22,27072,26,3745
41068,30606,22,4,225
41069,22,30606,10,6630
41070,22,59440,19,3185
41071,59440,22,15,2163
41072,55702,22,24,2900
41073,22,55702,26,3745
41074,49324,80,1,46
41075,80,49324,6,264
41076,47768,22,15,2163
41077,22,47768,19,3185
41078,80,65500,6,240
41079,65500,80,7,322
41080,22,52417,19,3185
41081,52417,22,17,2267
41082,2938,22,13,2779
41083,22,2938,19,3093
41084,22,15984,5,1285
41085,15984,22,6,340
41086,40183,22,6,328
41087,22,40183,6,405
41088,53,33967,1,129
41089,33967,53,1,68
41090,53,34662,1,250
41091,34662,53,1,68
41092,443,57794,9,5455
41093,57794,443,12,1710
41094,15086,23,1,46
41095,23,15086,1,40
41096,18919,22,6,329
41097,22,18919,8,4369
41098,38579,22,5,268
41099,22,38579,5,341
41100,15485,23,1,46
41101,23,15485,1,40
41102,42974,22,5,268
41103,22,42974,7,469
41104,46247,22,19,2383
41105,22,46247,20,3305
41106,6000,7001,1,46
41107,7001,6000,1,40
41108,44833,22,15,2163
41109,22,44833,20,3249
41110,35396,22,17,2267
41111,22,35396,19,3185
41112,63956,22,24,2932
41113,22,63956,26,3745
41114,46187,23,1,46
41115,23,46187,1,40
41116,22,38166,19,3185
41117,38166,22,17,2267
41118,44769,22,15,2163
41119,22,44769,19,3185
41120,53798,22,2,106
41121,22,53798,3,180
41122,23995,80,1,46
41123,80,23995,6,264
41124,22,60621,19,3185
41125,60621,22,17,2267
41126,49535,22,18,2426
41127,22,49535,28,5931
41128,37406,22,17,2267
41129,22,37406,19,3185
41130,47292,22,12,1811
41131,22,47292,14,2721
41132,22,56432,26,3745
41133,56432,22,24,2921
41134,22,34322,19,3185
41135,34322,22,15,2163
41136,43424,22,7,411
41137,22,43424,9,2534
41138,42651,80,1,46
41139,80,42651,6,264
41140,23,7334,1,40
41141,7334,23,1,46
41142,63191,23,1,46
41143,23,63191,1,40
41144,3792,445,3,144
41145,445,3792,3,120
41146,35466,22,24,2900
41147,22,35466,26,3745
41148,23420,22,24,2899
41149,22,23420,26,3745
41150,51204,7547,1,46
41151,7547,51204,1,40
41152,22,51770,19,3185
41153,51770,22,18,2319
41154,43179,80,1,46
41155,80,43179,6,264
41156,35173,22,17,2283
41157,22,35173,19,3185
41158,80,396,1,46
41159,396,80,1,40
41160,22,55308,19,3185
41161,55308,22,17,2283
41162,51524,22,5,331
41163,22,51524,11,4783
41164,60663,22,7,375
41165,22,60663,8,4381
41166,23,35548,1,40
41167,35548,23,1,46
41168,22,52580,19,3185
41169,52580,22,15,2163
41170,60005,22,1,46
41171,22,60005,6,264
41172,30768,80,1,46
41173,80,30768,6,264
41174,23814,22,26,2987
41175,22,23814,28,3985
41176,56312,22,17,2279
41177,22,56312,20,3289
41178,44787,22,4,231
41179,22,44787,11,5569
41180,22,9768,5,1285
41181,9768,22,6,340
41182,22,51891,19,3185
41183,51891,22,17,2267
41184,35638,22,6,359
41185,22,35638,12,7763
41186,35970,22,24,2948
41187,22,35970,26,3745
41188,23,7334,1,40
41189,7334,23,1,46
41190,36953,22,6,337
41191,22,36953,13,7633
41192,52311,80,1,46
41193,80,52311,6,264
41194,38058,22,2,106
41195,22,38058,4,240
41196,22,40119,26,3745
41197,40119,22,24,2918
41198,22,33477,19,3185
41199,33477,22,17,2267
41200,60402,22,4,232
41201,22,60402,6,360
41202,44034,22,15,2163
41203,22,44034,19,3185
41204,37012,22,15,2163
41205,22,37012,19,3185
41206,44165,6379,1,46
41207,6379,44165,1,40
41208,22,58008,5,1285
41209,58008,22,6,340
41210,1168,5358,1,46
41211,5358,1168,1,40
41212,22,60901,20,3305
41213,60901,22,19,2399
41214,46379,80,1,46
41215,80,46379,6,264
41216,13376,22,5,286
41217,22,13376,7,560
41218,45188,22,1,46
41219,22,45188,6,264
41220,4272,80,1,46
41221,80,4272,6,264
41222,23,25090,1,40
41223,25090,23,1,46
41224,22,48907,19,3185
41225,48907,22,17,2267
41226,48690,22,6,329
41227,22,48690,10,4505
41228,44203,22,5,324
41229,22,44203,9,1558
41230,31134,22,4,231
41231,22,31134,11,5581
41232,52333,22,17,2363
41233,22,52333,22,3435
41234,22,44676,19,3185
41235,44676,22,17,2267
41236,3167,22,16,2917
41237,22,3167,22,4129
41238,22,7500,28,4721
41239,7500,22,26,3410
41240,56884,22,15,2163
41241,22,56884,19,3185
41242,17193,22,8,504
41243,22,17193,10,2549
41244,55972,22,15,2163
41245,22,55972,19,3185
41246,40942,22,5,283
41247,22,40942,13,8605
41248,55644,22,19,2371
41249,22,55644,19,3185
41250,47432,22,24,2900
41251,22,47432,26,3745
41252,36953,22,7,374
41253,22,36953,8,558
41254,22,10459,5,1285
41255,10459,22,6,340
41256,56703,22,12,1345
41257,22,56703,14,2153
41258,60984,22,26,3004
41259,22,60984,26,3745
41260,22,47225,27,5034
41261,47225,22,16,2629
41262,55688,22,4,240
41263,22,55688,8,608
41264,21144,22,28,3108
41265,22,21144,26,3745
41266,46212,22,17,2267
41267,22,46212,19,3185
41268,22,35093,26,3745
41269,35093,22,24,2918
41270,63681,80,1,46
41271,80,63681,6,264
41272,39038,22,12,1586
41273,22,39038,12,2545
41274,48741,22,17,3099
41275,22,48741,28,5721
41276,37418,123,1,46
41277,0,3,1,65
41278,49676,80,1,46
41279,80,49676,6,264
41280,28379,22,1,46
41281,22,28379,6,264
41282,22,33970,19,3185
41283,33970,22,17,2267
41284,5078,5060,1,437
41285,0,3,1,465
41286,51464,22,15,2163
41287,22,51464,19,3185
41288,38498,80,1,46
41289,80,38498,6,264
41290,44113,22,6,335
41291,22,44113,16,8822
41292,23134,22,5,277
41293,22,23134,10,5613
41294,3389,40935,1,40
41295,40935,3389,2,92
41296,22,34106,20,3249
41297,34106,22,15,2157
41298,22,30258,26,3745
41299,30258,22,24,2889
41300,22,34532,26,3745
41301,34532,22,24,2889
41302,22,42840,5,1285
41303,42840,22,6,340
41304,22,33369,19,3185
41305,33369,22,15,2163
41306,22,47705,19,3185
41307,47705,22,17,2267
41308,61808,22,27,3687
41309,22,61808,27,3809
41310,3770,22,24,2900
41311,22,3770,26,3745
41312,63056,22,15,2163
41313,22,63056,23,5427
41314,63475,22,15,2163
41315,22,63475,19,3185
41316,56442,22,12,1811
41317,22,56442,14,2721
41318,48972,22,14,2111
41319,22,48972,17,3081
41320,135,80,3,138
41321,80,135,7,308
41322,32963,22,12,1586
41323,22,32963,12,2545
41324,53886,22,24,2948
41325,22,53886,26,3745
41326,3600,80,15,690
41327,80,3600,75,3300
41328,56680,22,5,236
41329,22,56680,4,213
41330,38850,23,1,46
41331,23,38850,1,40
41332,53965,22,17,2283
41333,22,53965,19,3185
41334,22,43365,27,3809
41335,43365,22,25,3037
41336,11245,22,2,106
41337,22,11245,4,240
41338,46382,3391,2,92
41339,3391,46382,1,40
41340,56918,22,14,1678
41341,22,56918,17,4509
41342,24150,1900,1,122
41343,0,3,1,150
41344,22,58605,27,3865
41345,58605,22,25,2947
41346,23,7334,1,40
41347,7334,23,1,46
41348,22,1595,26,3745
41349,1595,22,26,2987
41350,38412,22,17,2267
41351,22,38412,19,3185
41352,42982,8087,1,46
41353,8087,42982,1,40
41354,22,19411,5,1285
41355,19411,22,6,340
41356,15194,22,5,301
41357,22,15194,8,1494
41358,40627,22,17,2267
41359,22,40627,19,3185
41360,10934,22,7,1677
41361,22,10934,11,5525
41362,37035,22,18,2319
41363,22,37035,19,3185
41364,55416,22,15,2163
41365,22,55416,19,3185
41366,24680,23,1,46
41367,23,24680,1,40
41368,7018,5358,1,46
41369,5358,7018,1,40
41370,22,32968,19,3185
41371,32968,22,17,2267
41372,22,52327,1,44
41373,52327,22,2,92
41374,3777,22,21,3147
41375,22,3777,20,3065
41376,22,53818,19,3185
41377,53818,22,15,2163
41378,63756,22,9,493
41379,22,63756,10,2581
41380,23,19303,2,80
41381,19303,23,2,92
41382,50929,22,15,2179
41383,22,50929,19,3185
41384,22,49690,24,3661
41385,49690,22,19,2100
41386,22,39039,23,3545
41387,39039,22,19,2092
41388,19787,22,7,405
41389,22,19787,7,1401
41390,18095,2222,1,46
41391,2222,18095,1,40
41392,34909,80,1,46
41393,80,34909,6,264
41394,18855,22,17,2435
41395,22,18855,23,4333
41396,44748,22,19,2523
41397,22,44748,23,3553
41398,19194,22,16,2215
41399,22,19194,22,4201
41400,22,55063,19,3185
41401,55063,22,17,2267
41402,22,51401,19,3185
41403,51401,22,17,2267
41404,46645,22,5,283
41405,22,46645,15,8762
41406,35601,2323,1,46
41407,2323,35601,1,40
41408,22,3189,18,2985
41409,3189,22,14,2825
41410,36826,88,1,46
41411,88,36826,1,40
41412,36033,22,26,3007
41413,22,36033,35,7018
41414,48851,22,17,2365
41415,22,48851,23,3454
41416,61039,22,15,2163
41417,22,61039,19,3185
41418,35260,23,1,46
41419,23,35260,1,40
41420,58966,22,14,1915
41421,22,58966,14,2721
41422,22,55578,26,3745
41423,55578,22,24,2883
41424,41296,23,1,46
41425,23,41296,1,40
41426,37621,22,12,1345
41427,22,37621,14,2153
41428,2994,22,24,2900
41429,22,2994,26,3745
41430,19983,7547,1,46
41431,7547,19983,1,40
41432,123,45050,1,76
41433,45050,123,1,76
41434,57235,22,4,231
41435,22,57235,12,5641
41436,42930,22,18,2319
41437,22,42930,19,3185
41438,22,41982,19,3185
41439,41982,22,15,2163
41440,22,34421,15,4437
41441,34421,22,13,2066
41442,22,5128,27,3809
41443,5128,22,25,3031
41444,52700,22,15,2163
41445,22,52700,19,3185
41446,22,43531,5,1285
41447,43531,22,6,340
41448,10998,22,24,2948
41449,22,10998,26,3745
41450,36550,22,7,426
41451,22,36550,8,2478
41452,22,43200,19,3185
41453,43200,22,17,2267
41454,39694,22,26,3036
41455,22,39694,26,3745
41456,23,58463,1,40
41457,58463,23,1,46
41458,5083,5060,1,437
41459,0,3,1,465
41460,22,43655,19,3185
41461,43655,22,17,2283
41462,22,40225,20,3249
41463,40225,22,15,2157
41464,58748,22,5,277
41465,22,58748,8,4369
41466,8782,22,24,2918
41467,22,8782,26,3745
41468,44357,22,17,2021
41469,22,44357,18,3073
41470,40871,22,4,226
41471,22,40871,7,420
41472,123,58263,1,76
41473,58263,123,1,76
41474,23,8998,1,40
41475,8998,23,1,46
41476,43819,79,1,46
41477,79,43819,1,40
41478,32037,22,7,441
41479,22,32037,8,1564
41480,0,3,1,80
41481,0,0,1,52
41482,22,58960,20,3249
41483,58960,22,15,2163
41484,47377,22,2,92
41485,22,47377,1,44
41486,23,46217,1,40
41487,46217,23,1,46
