,Unnamed: 0,Duration_Average ,Duration_Std,Duration_Var,Src Pt_Average,Src Pt_Std,Src Pt_Var,Dst Pt_Average,Dst Pt_Std,Dst Pt_Var,Packets_Average,Packets_Std,Packets_Var,Bytes_Average,Bytes_Std,Bytes_Var,class
1434,0:11:57,19.23225,[29.3613639],[862.08968994],24043.8125,[25271.08934687],[6.38627957e+08],24043.8125,[25271.08934687],[6.38627957e+08],13.8125,[8.69783558],[75.65234375],2267.75,[1786.55060452],[3191763.0625],suspicious
1436,0:11:58,14.2059,[25.72591622],[661.82276539],15749.75,[19214.47440571],[3.69196027e+08],15749.0575,[19214.83731024],[3.69209973e+08],12.05,[8.80326644],[77.4975],1732.475,[1420.02103836],[2016459.749375],suspicious
1438,0:11:59,21.37119048,[36.16474028],[1307.88843939],18803.30952,[22326.29881519],[4.98463619e+08],18803.30952,[22326.29881519],[4.98463619e+08],9.547619048,[9.00846792],[81.15249433],1583.857143,[1751.91769174],[3069215.59863946],suspicious
1440,0:12:00,14.9918125,[19.36852587],[375.13979453],21863.65625,[23568.01497609],[5.5545133e+08],21863.65625,[23568.01497609],[5.5545133e+08],14.96875,[8.37960461],[70.21777344],2341.125,[1637.38831203],[2681040.484375],suspicious
1442,0:12:01,21.30106667,[36.55720244],[1336.42905046],19726.93333,[22399.52319572],[5.01738639e+08],19726.93333,[22399.52319572],[5.01738639e+08],11.5,[6.80073525],[46.25],1777.5,[1276.06083319],[1628331.25],suspicious
1444,0:12:02,29.33525,[40.66203952],[1653.40145756],20389.6875,[22708.07193411],[5.15656531e+08],20389.6875,[22708.07193411],[5.15656531e+08],14.25,[9.15491671],[83.8125],2293.3125,[1920.02152393],[3686482.65234375],suspicious
1446,0:12:03,20.51188889,[36.6763684],[1345.15599899],17245.16667,[20750.04940623],[4.3056455e+08],17245.16667,[20750.04940623],[4.3056455e+08],12,[8.9690827],[80.44444444],2079.777778,[2136.48846255],[4564582.95061728],suspicious
1448,0:12:04,10.27284615,[10.06362868],[101.27662228],17039.65385,[21494.71944445],[4.62022964e+08],17039.65385,[21494.71944445],[4.62022964e+08],13.88461538,[8.42307692],[70.94822485],2061.192308,[1319.3343607],[1740643.15532544],suspicious
1450,0:12:05,18.354625,[27.4523051],[753.62905523],21546.6875,[23277.12079414],[5.41824352e+08],21546.6875,[23277.12079414],[5.41824352e+08],10.96875,[8.24046561],[67.90527344],2016.90625,[2075.44036531],[4307452.70996094],suspicious
1452,0:12:06,14.48405882,[27.35366533],[748.22300711],20518.11765,[23386.99007966],[5.46951305e+08],20518.11765,[23386.99007966],[5.46951305e+08],12.91176471,[7.93120289],[62.90397924],2146.176471,[1759.70513022],[3096562.14532872],suspicious
1454,0:12:07,9.122,[17.86606358],[319.19622775],10696.5,[17332.64230433],[3.00420489e+08],10697.1625,[17332.16057824],[3.0040379e+08],5.5,[8.39642781],[70.5],728,[1134.04116989],[1286049.375],suspicious
1456,0:12:08,12.34921429,[12.79372038],[163.67928117],22725.85714,[23917.86418844],[5.72064227e+08],21470.11786,[24054.72161737],[5.78629632e+08],12.78571429,[11.11420308],[123.5255102],2163.107143,[2289.97336758],[5243978.02423469],suspicious
1458,0:12:09,17.20846667,[29.73530729],[884.18849972],19137.6,[22322.80970607],[4.98307833e+08],19137.6,[22322.80970607],[4.98307833e+08],13.9,[8.78768077],[77.22333333],2066.533333,[1497.13554793],[2241414.84888889],suspicious
1460,0:12:10,7.005166667,[7.43290194],[55.24803125],18200.05556,[20359.11994107],[4.14493765e+08],17377.86944,[20402.93406697],[4.16279719e+08],10.41666667,[9.44391338],[89.1875],1458.444444,[1447.65969076],[2095718.58024691],suspicious
1462,0:12:11,19.16219048,[29.15206955],[849.84315901],22779.61905,[24194.75057386],[5.85385955e+08],22779.61905,[24194.75057386],[5.85385955e+08],14.11904762,[8.6635591],[75.05725624],2122.595238,[1492.31362495],[2226999.95521542],suspicious
1464,0:12:12,9.065357143,[7.33015552],[53.73117994],19633.21429,[23133.04669169],[5.35137849e+08],19633.21429,[23133.04669169],[5.35137849e+08],13.57142857,[9.56342949],[91.45918367],1942.464286,[1502.2690334],[2256812.24872449],suspicious
1466,0:12:13,7.977132075,[20.29580039],[411.91951332],32943.92453,[25204.93663861],[6.35288831e+08],32943.92453,[25204.93663861],[6.35288831e+08],6.481132075,[0.53607821],[0.28737985],584.8867925,[65.42218779],[4280.06265575],normal
1468,0:12:14,17.64257143,[29.64431308],[878.78529782],16188.17857,[20319.14356332],[4.12867595e+08],15244.83214,[20347.26403256],[4.14011154e+08],13.28571429,[9.69114892],[93.91836735],1871.714286,[1512.20297809],[2286757.84693878],suspicious
1470,0:12:15,17.61869231,[31.27784977],[978.30388621],17723.44231,[21050.00130953],[4.43102555e+08],17722.69808,[21050.43295706],[4.43120728e+08],12,[8.96145593],[80.30769231],1931.230769,[1629.60889144],[2655625.13905325],suspicious
1472,0:12:16,7.808,[7.26993454],[52.85194824],20014.91176,[22480.12417718],[5.05355983e+08],18535.30294,[22081.37700827],[4.87587211e+08],12.5,[9.34391907],[87.30882353],1782.117647,[1411.33132319],[1991856.10380623],suspicious
1474,0:12:17,26.70857143,[33.70984875],[1136.35390267],18738.46429,[23095.29872148],[5.33392823e+08],18738.46429,[23095.29872148],[5.33392823e+08],15.14285714,[9.90567761],[98.12244898],2392.178571,[1899.68300088],[3608795.50382653],suspicious
1476,0:12:18,15.81433333,[35.60416146],[1267.65631327],13802.28571,[17614.18018081],[3.10259343e+08],13864.13333,[17589.28558556],[3.09382967e+08],7.30952381,[9.21047048],[84.83276644],1203.547619,[1769.79563257],[3132176.58106576],suspicious
1478,0:12:19,13.35453333,[32.0815148],[1029.22359185],24265.43333,[22413.81110935],[5.02378928e+08],24265.43333,[22413.81110935],[5.02378928e+08],7.933333333,[8.37827879],[70.19555556],1182.1,[1421.54095615],[2020778.69],suspicious
1480,0:12:20,9.415705882,[6.54894181],[42.8886388],17878.38235,[22407.40584509],[5.02091837e+08],17878.38235,[22407.40584509],[5.02091837e+08],14.67647059,[8.76396562],[76.80709343],2283.382353,[1676.65768744],[2811181.00086505],suspicious
1482,0:12:21,17.04566667,[28.60777582],[818.40483756],15730.75,[19669.28319229],[3.86880701e+08],15657.82222,[19703.97468789],[3.88246619e+08],11.75,[9.37305535],[87.85416667],2042.416667,[1943.23243556],[3776152.29861111],suspicious
1484,0:12:22,6.683,[6.83456509],[46.71128],14791.36667,[19537.30344663],[3.81706226e+08],14787.11,[19539.37996315],[3.81787369e+08],10.3,[9.29569793],[86.41],1470.933333,[1382.4010497],[1911032.66222222],suspicious
1486,0:12:23,8.2947,[6.70576537],[44.96728921],23377.8,[24347.82113167],[5.92816394e+08],23377.8,[24347.82113167],[5.92816394e+08],13.4,[8.24257241],[67.94],1910,[1273.12717354],[1620852.8],suspicious
1488,0:12:24,20.98078571,[30.4745579],[928.69867931],21467.53571,[23744.74990766],[5.63813148e+08],21467.53571,[23744.74990766],[5.63813148e+08],11.57142857,[8.94598302],[80.03061224],1623.035714,[1472.27383619],[2167590.24872449],suspicious
1490,0:12:25,27.62261538,[42.57130594],[1812.31608947],17451.07692,[20848.81523829],[4.34673097e+08],17451.07692,[20848.81523829],[4.34673097e+08],10.69230769,[8.42053],[70.90532544],1668.384615,[1579.46651356],[2494714.46745562],suspicious
1492,0:12:26,32.53133333,[48.25951593],[2328.980878],24254.33333,[24396.84049672],[5.95205826e+08],24254.33333,[24396.84049672],[5.95205826e+08],11.61111111,[7.31922043],[53.57098765],1776.055556,[1313.79909136],[1726068.05246914],suspicious
1494,0:12:27,19.40313333,[37.14501517],[1379.75215172],21460.63333,[21064.42374951],[4.43709948e+08],21460.63333,[21064.42374951],[4.43709948e+08],9.3,[8.66467926],[75.07666667],1664.766667,[2100.0889296],[4410373.51222222],suspicious
1496,0:12:28,35.193125,[46.62185282],[2173.59716073],18330.09375,[22392.15793302],[5.01408737e+08],18330.09375,[22392.15793302],[5.01408737e+08],11.15625,[10.83140508],[117.31933594],1766.96875,[2062.49521945],[4253886.53027344],suspicious
1498,0:12:29,28.42908333,[42.12126015],[1774.20055674],18142.25,[22263.5849001],[4.95667213e+08],18142.25,[22263.5849001],[4.95667213e+08],14.5,[7.30867065],[53.41666667],2436.75,[1826.40517251],[3335755.85416667],suspicious
1500,0:12:30,8.901,[7.2684639],[52.83056742],17764.25,[21190.78187119],[4.49049236e+08],17764.25,[21190.78187119],[4.49049236e+08],13.375,[9.70099866],[94.109375],1962.145833,[1490.08156921],[2220343.08289931],suspicious
1502,0:12:31,15.43016667,[23.59267783],[556.61444714],20602,[24170.92097094],[5.84233421e+08],18255.84583,[23116.27088377],[5.3436198e+08],13.08333333,[8.27605314],[68.49305556],2088.75,[1542.85674562],[2380406.9375],suspicious
1504,0:12:32,16.09861538,[31.50049498],[992.28118408],17312.84615,[23050.64340115],[5.31332161e+08],17302.58846,[23056.00442292],[5.3157934e+08],9.884615385,[9.60098922],[92.17899408],1343.538462,[1408.29182484],[1983285.86390533],suspicious
1506,0:12:33,15.21342857,[30.24740185],[914.90531839],23114.10714,[25906.10675434],[6.71126367e+08],23114.10714,[25906.10675434],[6.71126367e+08],10.21428571,[8.8170174],[77.73979592],1740.321429,[1908.40823825],[3642022.00382653],suspicious
1508,0:12:34,16.55966667,[29.547673],[873.06497956],16365.03333,[19605.76802964],[3.8438614e+08],16365.03333,[19605.76802964],[3.8438614e+08],12.9,[8.81797407],[77.75666667],1881.066667,[1406.83017059],[1979171.12888889],suspicious
1510,0:12:35,0.072166667,[0.00776298],[6.02638889e-05],32756.79167,[25038.17850134],[6.26910383e+08],32756.79167,[25038.17850134],[6.26910383e+08],6.5,[0.5],[0.25],863.8541667,[498.10187586],[248105.47873264],normal
1512,0:12:36,19.082375,[27.65281706],[764.67829123],17310.03125,[19464.6146001],[3.78871222e+08],17310.03125,[19464.6146001],[3.78871222e+08],17.15625,[9.23684664],[85.31933594],2584.1875,[1800.90012975],[3243241.27734375],suspicious
1514,0:12:37,14.61605882,[26.03558901],[677.85189523],18966.02941,[21852.87036266],[4.77547943e+08],18966.02941,[21852.87036266],[4.77547943e+08],13.82352941,[9.64508588],[93.02768166],2027.911765,[1556.7519423],[2423476.60986159],suspicious
1516,0:12:38,20.75393333,[28.42805791],[808.1544766],17921.46667,[21474.99581953],[4.61175445e+08],17921.46667,[21474.99581953],[4.61175445e+08],17.83333333,[7.50592359],[56.33888889],2814.166667,[1380.92879573],[1906964.33888889],suspicious
1518,0:12:39,17.87973333,[20.62746499],[425.4923118],23283.06667,[25524.90941144],[6.51521e+08],23283.06667,[25524.90941144],[6.51521e+08],14.13333333,[7.75342218],[60.11555556],2423,[1840.46945098],[3387327.8],suspicious
1520,0:12:40,17.05491667,[31.79314613],[1010.80414108],22470.25,[24986.25490353],[6.24312934e+08],22470.25,[24986.25490353],[6.24312934e+08],13.33333333,[8.05018978],[64.80555556],2210.583333,[1859.35602465],[3457204.82638889],suspicious
1522,0:12:41,12.49953846,[32.30953086],[1043.9057844],16422.96154,[18790.5723323],[3.53085609e+08],14983.65,[18427.56295011],[3.39575076e+08],6.961538462,[8.33657728],[69.49852071],988.2307692,[1243.39579402],[1546033.10059172],suspicious
1524,0:12:42,5.939,[7.15054106],[51.13023745],24188.68182,[25682.29138281],[6.59580091e+08],24188.68182,[25682.29138281],[6.59580091e+08],8.818181818,[9.67957721],[93.69421488],1295.772727,[1547.62915254],[2395155.99380165],suspicious
1526,0:12:43,21.08882353,[37.13637999],[1379.11071873],19821.05882,[20506.42393315],[4.20513423e+08],19821.05882,[20506.42393315],[4.20513423e+08],12.29411765,[9.12504444],[83.26643599],2363.382353,[2374.15601121],[5636616.76557093],suspicious
1528,0:12:44,6.891666667,[6.53182462],[42.66473289],23852.375,[25992.52902729],[6.75611565e+08],23852.375,[25992.52902729],[6.75611565e+08],11,[8.85531855],[78.41666667],1610,[1373.13418864],[1885497.5],suspicious
1530,0:12:45,18.52126667,[28.04249509],[786.381531],19960.33333,[21992.22695307],[4.83658046e+08],19960.33333,[21992.22695307],[4.83658046e+08],15,[7.07106781],[50.],2228.066667,[1177.72939544],[1387046.52888889],suspicious
1532,0:12:46,18.5502,[18.50446111],[342.41508096],24912.5,[25653.60551755],[6.58107476e+08],24912.5,[25653.60551755],[6.58107476e+08],13.9,[8.10493677],[65.69],1927.2,[1255.79391621],[1577018.36],suspicious
1534,0:12:47,30.07016667,[41.4371999],[1717.04153581],18449.25,[20961.90710998],[4.3940155e+08],18449.25,[20961.90710998],[4.3940155e+08],16.16666667,[7.19181634],[51.72222222],2301.041667,[1103.94517826],[1218694.95659722],suspicious
1536,0:12:48,20.07111111,[36.19756746],[1310.26388977],20287.13889,[22652.6531769],[5.13142696e+08],18834.675,[22101.24174433],[4.88464887e+08],11.30555556,[8.16094849],[66.60108025],2031.944444,[1991.24146011],[3965042.55246914],suspicious
1538,0:12:49,9.905058824,[8.24890711],[68.04446853],19856.29412,[24316.36983299],[5.91285842e+08],19856.29412,[24316.36983299],[5.91285842e+08],12.47058824,[9.05614934],[82.01384083],1774.882353,[1408.90923109],[1985025.22145329],suspicious
1540,0:12:50,17.04869231,[31.290741],[979.11047206],13004.46154,[15992.59528231],[2.55763104e+08],13004.46154,[15992.59528231],[2.55763104e+08],11.88461538,[10.66744481],[113.7943787],1561.115385,[1526.87814553],[2331356.87130177],suspicious
1542,0:12:51,17.9128,[25.01757906],[625.87926216],23221.95,[24192.45555431],[5.85274906e+08],23221.95,[24192.45555431],[5.85274906e+08],10.75,[7.06310838],[49.8875],2103.3,[2097.41774809],[4399161.21],suspicious
1544,0:12:52,24.73492857,[35.1251894],[1233.77893021],21178.67857,[24996.93729104],[6.24846874e+08],21178.67857,[24996.93729104],[6.24846874e+08],11.5,[9.7669267],[95.39285714],2049.642857,[2231.84221175],[4981119.65816327],suspicious
1546,0:12:53,37.01092308,[44.31298468],[1963.64061084],21552.73077,[24763.89001],[6.13250248e+08],21552.73077,[24763.89001],[6.13250248e+08],11.23076923,[8.96706663],[80.40828402],2240.192308,[2333.78668888],[5446560.3091716],suspicious
1548,0:12:54,8.692923077,[5.88477153],[34.63053592],20540.76923,[22813.26876438],[5.20445232e+08],20541.07692,[22812.99177244],[5.20432594e+08],14.07692308,[8.10945828],[65.76331361],2269.423077,[1465.0677898],[2146423.62869823],suspicious
1550,0:12:55,20.29878571,[28.84453902],[832.00743131],18253.42857,[22052.74118275],[4.86323394e+08],18253.42857,[22052.74118275],[4.86323394e+08],17.92857143,[8.13251223],[66.1377551],2495.5,[1160.97039153],[1347852.25],suspicious
1552,0:12:56,8.60585,[7.5429221],[56.89567383],16120.1,[20861.19779735],[4.35189574e+08],16120.1,[20861.19779735],[4.35189574e+08],12.625,[9.52020877],[90.634375],1773.025,[1414.01277377],[1999432.124375],suspicious
1554,0:12:57,9.857928571,[8.2593044],[68.21610921],19277.10714,[23725.75292549],[5.62911352e+08],19277.18929,[23725.67857504],[5.62907824e+08],14.46428571,[10.61832023],[112.74872449],2035.5,[1492.95396303],[2228911.53571429],suspicious
1556,0:12:58,13.8685,[20.79488342],[432.42717625],17385.25,[21403.83520102],[4.58124161e+08],17385.22813,[21403.82341445],[4.58123657e+08],13.5,[8.08161494],[65.3125],2176.96875,[1584.45326699],[2510492.15527344],suspicious
1558,0:12:59,20.436,[16.72643183],[279.77352185],19943.88462,[22719.52084971],[5.16176628e+08],19943.88462,[22719.52084971],[5.16176628e+08],17.61538462,[7.62120989],[58.08284024],2668.5,[1338.73712735],[1792217.09615385],suspicious
1560,0:13:00,23.52985714,[49.17604163],[2418.2830705],19256.21429,[23011.69931385],[5.29538305e+08],19256.40476,[23011.53995495],[5.29530971e+08],11.76190476,[9.64811732],[93.0861678],1642.880952,[1468.75519375],[2157241.819161],suspicious
1562,0:13:01,27.10876923,[41.81378168],[1748.39233879],24228.26923,[24750.71949157],[6.12598115e+08],24228.26923,[24750.71949157],[6.12598115e+08],9.192307692,[7.15229512],[51.15532544],1528.423077,[1866.77150703],[3484835.85946746],suspicious
1564,0:13:02,13.448625,[21.45520767],[460.32593636],14863.8125,[19560.74669689],[3.82622811e+08],14863.9125,[19560.6707167],[3.82619839e+08],8.21875,[7.98332001],[63.73339844],1292.125,[1533.59864269],[2351924.796875],suspicious
1566,0:13:03,30.62746154,[44.8772136],[2013.96430025],21050.61538,[23609.1199052],[5.57390543e+08],21050.61538,[23609.1199052],[5.57390543e+08],10.92307692,[7.2213523],[52.14792899],1811.076923,[1614.15838807],[2605507.30177515],suspicious
1568,0:13:04,18.46028571,[30.09368814],[905.63006592],22316.89286,[24721.33789627],[6.11144547e+08],22316.89286,[24721.33789627],[6.11144547e+08],15.53571429,[8.02443653],[64.39158163],2378.75,[1316.10889218],[1732142.61607143],suspicious
1570,0:13:05,5.592875,[4.58351248],[21.00858661],20348.8125,[22520.81692906],[5.07187195e+08],18414.26875,[22820.57658991],[5.20778716e+08],12.6875,[7.2948505],[53.21484375],1956,[1268.78268431],[1609809.5],suspicious
1572,0:13:06,9.143411765,[7.88687924],[62.20286412],16258.35294,[20996.54732665],[4.40855e+08],16258.58824,[20996.36517299],[4.4084735e+08],12.47058824,[10.04470974],[100.89619377],1956.882353,[1733.6856314],[3005665.86851211],suspicious
1574,0:13:07,22.44044444,[35.12301479],[1233.62616825],18854.5,[21164.68611535],[4.47943938e+08],18854.5,[21164.68611535],[4.47943938e+08],15.66666667,[4.64279609],[21.55555556],2804.666667,[1661.49574514],[2760568.11111111],suspicious
1576,0:13:08,15.01778947,[22.79740915],[519.72186406],18045.28947,[21996.49710858],[4.83845885e+08],18045.28947,[21996.49710858],[4.83845885e+08],14.60526316,[8.3871439],[70.34418283],2132.421053,[1288.12437352],[1659264.40166205],suspicious
1578,0:13:09,39.70833333,[44.18604593],[1952.40665506],16412.04167,[23600.01143093],[5.5696054e+08],14719.42917,[23248.84093174],[5.40508605e+08],16.625,[9.37999867],[87.984375],2441.75,[1523.44645596],[2320889.10416667],suspicious
1580,0:13:10,25.125,[36.8334952],[1356.7063686],23073.6,[24513.24699708],[6.00899278e+08],23073.6,[24513.24699708],[6.00899278e+08],10.2,[7.54718491],[56.96],2051.6,[2233.92485102],[4990420.24],suspicious
1582,0:13:11,7.3145,[7.11074546],[50.56270105],21808.5,[22449.50690661],[5.0398036e+08],19122.715,[21434.07674996],[4.59419646e+08],11.85,[9.67613042],[93.6275],1739.8,[1452.52675018],[2109833.96],suspicious
1584,0:13:12,14.38588889,[26.98372191],[728.12124832],21051.22222,[24019.96554271],[5.76958745e+08],19623.23056,[23697.42739564],[5.61568065e+08],10.33333333,[7.88458412],[62.16666667],1584.666667,[1379.70755758],[1903592.94444444],suspicious
1586,0:13:13,16.1846,[31.63836526],[1000.98615637],17690.56667,[19282.19388742],[3.71803001e+08],17690.56667,[19282.19388742],[3.71803001e+08],11.66666667,[9.59629558],[92.08888889],1964.8,[1817.59840449],[3303663.96],suspicious
1588,0:13:14,0.079833333,[0.00596983],[3.56388889e-05],32334.58333,[24612.57439961],[6.05778819e+08],32334.58333,[24612.57439961],[6.05778819e+08],6.5,[0.5],[0.25],1152.729167,[573.72934747],[329165.36414931],normal
1590,0:13:15,26.7016875,[36.81125363],[1355.06839384],21072.0625,[23566.56933818],[5.5538319e+08],21072.0625,[23566.56933818],[5.5538319e+08],13.375,[9.88290823],[97.671875],1809.875,[1474.4125896],[2173892.484375],suspicious
1592,0:13:16,12.27638095,[17.27462293],[298.41259728],22597.7619,[25018.00946443],[6.25900798e+08],22597.7619,[25018.00946443],[6.25900798e+08],13.95238095,[9.54675807],[91.14058957],2213.5,[1824.3705927],[3328328.05952381],suspicious
1594,0:13:17,17.37895,[42.11383386],[1773.57500225],18942,[21166.23068829],[4.48009322e+08],18941.7825,[21166.35353444],[4.48014522e+08],13.325,[8.80734778],[77.569375],1954.825,[1335.66215578],[1783993.394375],suspicious
1596,0:13:18,27.54333333,[44.40843914],[1972.10946722],21216.75,[23454.73408904],[5.50124551e+08],21216.75,[23454.73408904],[5.50124551e+08],11.41666667,[9.07798007],[82.40972222],1755.75,[1528.22315806],[2335466.02083333],suspicious
1598,0:13:19,7.958461538,[7.55268558],[57.04305948],17470.84615,[20929.03129019],[4.38024351e+08],17470.84615,[20929.03129019],[4.38024351e+08],10.92307692,[9.0252768],[81.4556213],1650.423077,[1423.23059305],[2025585.32100592],suspicious
1600,0:13:20,12.07572222,[18.70054417],[349.71035209],16404.72222,[21350.12885026],[4.55828002e+08],16399.425,[21352.8965736],[4.55946192e+08],10.44444444,[10.1281907],[102.58024691],1747.555556,[2005.88531915],[4023575.91358025],suspicious
1602,0:13:21,9.597375,[7.15184747],[51.14892223],22781.78125,[24123.92586046],[5.81963799e+08],22781.78125,[24123.92586046],[5.81963799e+08],12.9375,[9.55228212],[91.24609375],1927.75,[1481.08127731],[2193601.75],suspicious
1604,0:13:22,16.61830769,[31.08072634],[966.01155006],19435.84615,[21735.94257603],[4.724512e+08],19435.84615,[21735.94257603],[4.724512e+08],10.30769231,[8.14658603],[66.36686391],1542.423077,[1460.19137769],[2132158.85946746],suspicious
1606,0:13:23,27.02315385,[33.50821229],[1122.80029105],19952.07692,[23913.343996],[5.71848021e+08],17999.51154,[23368.57261094],[5.46090186e+08],10.15384615,[8.18860516],[67.05325444],2185.230769,[2222.15356922],[4937966.4852071],suspicious
1608,0:13:24,25.30545,[41.68417164],[1737.57016555],19884.75,[23203.19090206],[5.38388068e+08],19884.75,[23203.19090206],[5.38388068e+08],9.7,[7.87781696],[62.06],1386.75,[1318.76108052],[1739130.7875],suspicious
1610,0:13:25,12.4320625,[21.85457201],[477.62231768],18205.25,[20345.44758662],[4.13937238e+08],18196.91563,[20350.7484264],[4.14152962e+08],11.96875,[8.70518658],[75.78027344],2092.5,[1908.08963691],[3640806.0625],suspicious
1612,0:13:26,23.67664706,[36.20310918],[1310.66511399],20685.85294,[23739.94211938],[5.63584852e+08],20685.85294,[23739.94211938],[5.63584852e+08],15.20588235,[9.03190232],[81.57525952],2160.411765,[1348.48817565],[1818420.35986159],suspicious
1614,0:13:27,18.35441176,[28.18567047],[794.43201977],19976.32353,[22704.98792792],[5.15516477e+08],19970.59706,[22708.70196239],[5.15685145e+08],15.05882353,[7.87378815],[61.99653979],2430.705882,[1661.04627781],[2759074.73702422],suspicious
1616,0:13:28,7.725875,[35.93818929],[1291.55344911],27772.625,[22121.37897546],[4.89355408e+08],27772.625,[22121.37897546],[4.89355408e+08],6.770833333,[1.40296685],[1.96831597],708,[334.22385213],[111705.58333333],normal
1618,0:13:29,23.82011111,[37.79581159],[1428.52337377],18239.66667,[21033.77870633],[4.42419847e+08],18239.66667,[21033.77870633],[4.42419847e+08],11.77777778,[9.73285133],[94.72839506],1803.305556,[1982.72009875],[3931178.98996914],suspicious
1620,0:13:30,13.24711111,[9.83604241],[96.74773032],22714.16667,[24236.24505719],[5.87395574e+08],22714.16667,[24236.24505719],[5.87395574e+08],15.61111111,[7.77559493],[60.45987654],2556.388889,[1485.37014238],[2206324.45987654],suspicious
1622,0:13:31,21.12129412,[37.95878291],[1440.86920021],17988.70588,[20368.98392529],[4.14895506e+08],17988.70588,[20368.98392529],[4.14895506e+08],10.73529412,[7.93469234],[62.95934256],1557.264706,[1490.81283216],[2222522.90051903],suspicious
1624,0:13:32,15.67976923,[31.01197147],[961.74237433],22469.57692,[23650.97361986],[5.59368553e+08],22469.57692,[23650.97361986],[5.59368553e+08],10.96153846,[9.17136333],[84.11390533],1886.615385,[2053.2211106],[4215716.92899408],suspicious
1626,0:13:33,23.78263636,[40.36968841],[1629.7117426],22415.31818,[22295.104967],[4.97071705e+08],20854.55909,[22596.90152394],[5.10619958e+08],8.909090909,[8.55415418],[73.17355372],1738.772727,[2102.28101079],[4419585.44834711],suspicious
1628,0:13:34,16.16326667,[29.12880657],[848.4873722],17605.56667,[20205.53221881],[4.08263532e+08],17605.56667,[20205.53221881],[4.08263532e+08],13.53333333,[7.84743412],[61.58222222],1971.033333,[1224.94455611],[1500489.16555556],suspicious
1630,0:13:35,10.38008333,[10.34952118],[107.11258858],13893.29167,[18947.03136703],[3.58989998e+08],13891.0125,[18948.05145137],[3.59028654e+08],11.16666667,[10.18441074],[103.72222222],1568.708333,[1487.80874889],[2213574.87326389],suspicious
1632,0:13:36,10.2623913,[7.28223635],[53.03096624],20105.19565,[21950.17526286],[4.81810194e+08],19115.83261,[21721.44201765],[4.71821043e+08],14.84782609,[8.71522254],[75.95510397],2224.913043,[1367.25549958],[1869387.60113422],suspicious
1634,0:13:37,21.04570588,[27.78835617],[772.1927388],20496.38235,[23480.71749457],[5.51344094e+08],19491.39118,[23523.71650877],[5.53365238e+08],17.91176471,[7.9866346],[63.78633218],2760.617647,[1543.60807306],[2382725.88321799],suspicious
1636,0:13:38,10.04285714,[11.82702973],[139.87863212],16574.5,[20976.65295632],[4.40019969e+08],16574.5,[20976.65295632],[4.40019969e+08],8.142857143,[7.58623888],[57.55102041],1491.357143,[1647.69963487],[2714914.08673469],suspicious
1638,0:13:39,14.15942105,[26.07157216],[679.72687466],19061.63158,[23295.31847527],[5.42671863e+08],19061.63158,[23295.31847527],[5.42671863e+08],11.68421053,[9.58371772],[91.84764543],1865.605263,[1877.41406054],[3524683.55470914],suspicious
1640,0:13:40,0.068526718,[0.0268477],[0.0007208],32710.30534,[24911.94645264],[6.20605076e+08],32710.30534,[24911.94645264],[6.20605076e+08],6.503816794,[0.52964118],[0.28051978],589.5572519,[70.06291178],[4908.81160772],normal
1642,0:13:41,0.055716364,[0.008771],[7.69304595e-05],32695.49636,[24924.51557401],[6.21231477e+08],32695.49636,[24924.51557401],[6.21231477e+08],6.492727273,[0.53508013],[0.28631074],591.26,[68.99730983],[4760.62876364],normal
1644,0:13:42,0.053955556,[0.0207531],[0.00043069],32871.28222,[25092.75515979],[6.29646362e+08],32871.28222,[25092.75515979],[6.29646362e+08],6.504444444,[0.55073912],[0.30331358],626.3933333,[17.92251098],[321.2164],normal
1646,0:13:43,0.053964286,[0.00680589],[4.63201531e-05],31513.98214,[23670.64839589],[5.60299595e+08],31513.98214,[23670.64839589],[5.60299595e+08],6.571428571,[0.56242913],[0.31632653],630.2142857,[20.87780288],[435.88265306],normal
1648,0:13:44,5.1071,[5.17665458],[26.79775269],19446.55,[22592.76929789],[5.10433225e+08],19446.55,[22592.76929789],[5.10433225e+08],10.1,[8.28190799],[68.59],1517.35,[1387.539667],[1925266.3275],suspicious
1650,0:13:45,11.76118182,[7.37579405],[54.40233788],19026.47727,[21384.49704861],[4.57296714e+08],19026.47727,[21384.49704861],[4.57296714e+08],15.06818182,[7.95269459],[63.24535124],2184.477273,[1236.59459971],[1529166.20402893],suspicious
1652,0:13:46,17.59776923,[30.95261579],[958.06442402],24908.57692,[25651.68138315],[6.58008758e+08],24908.57692,[25651.68138315],[6.58008758e+08],11.61538462,[8.76214288],[76.77514793],1855.692308,[1653.01742206],[2732466.59763314],suspicious
1654,0:13:47,27.6466,[39.68301117],[1574.74137531],22216.36667,[23163.97069083],[5.36569538e+08],22216.36667,[23163.97069083],[5.36569538e+08],16.03333333,[7.28232258],[53.03222222],2426.3,[1150.36722108],[1323344.74333333],suspicious
1656,0:13:48,30.02658824,[44.8282645],[2009.57329789],16011.55882,[19096.76157361],[3.64686303e+08],16011.55882,[19096.76157361],[3.64686303e+08],13.5,[8.58264322],[73.66176471],1838.735294,[1349.71060752],[1821718.72404844],suspicious
1658,0:13:49,20.80146154,[42.58981407],[1813.89226286],16848.5,[21523.54097128],[4.63262816e+08],16848.5,[21523.54097128],[4.63262816e+08],10.96153846,[10.41995412],[108.57544379],1598.538462,[1639.6820806],[2688557.32544379],suspicious
